
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1310,bd21692e-6946-4b24-ae26-8dd96e54d38e.binning_data.json,768590,6000,0,2020-06-05 23:51:59.619,com.sec.android.app.shealth,2020-06-05 23:51:59.619,,1.5833335,978.91,53.12,1310,zub8fSqg+I,com.sec.android.app.shealth,0,bd21692e-6946-4b24-ae26-8dd96e54d38e.achievement.json,bd21692e-6946-4b24-ae26-8dd96e54d38e,1591315200000,
1877,26420a2f-5c38-4806-97b6-2dcb4c61aa1f.binning_data.json,1137666,6000,0,2020-06-10 20:04:19.677,com.sec.android.app.shealth,2020-06-09 22:56:22.521,26420a2f-5c38-4806-97b6-2dcb4c61aa1f.source_info.json,1.2212275,1389.35,75.19,1877,VfS0qUERdZ,com.sec.android.app.shealth,0,26420a2f-5c38-4806-97b6-2dcb4c61aa1f.achievement.json,26420a2f-5c38-4806-97b6-2dcb4c61aa1f,1591747200000,
1387,a13f866a-0a24-497a-85be-24fc9fb4e013.binning_data.json,870376,6000,0,2020-06-15 22:00:00.702,com.sec.android.app.shealth,2020-06-15 22:00:00.702,,1.9722221,1049.97,57.32,1387,zub8fSqg+I,com.sec.android.app.shealth,0,a13f866a-0a24-497a-85be-24fc9fb4e013.achievement.json,a13f866a-0a24-497a-85be-24fc9fb4e013,1592179200000,
2608,528b679b-9bed-4fd8-8d7a-e6ae3819fa1d.binning_data.json,1620295,6000,0,2020-06-12 19:18:34.629,com.sec.android.app.shealth,2020-06-11 22:27:25.405,528b679b-9bed-4fd8-8d7a-e6ae3819fa1d.source_info.json,1.224264,1983.67,106.73,2608,VfS0qUERdZ,com.sec.android.app.shealth,0,528b679b-9bed-4fd8-8d7a-e6ae3819fa1d.achievement.json,528b679b-9bed-4fd8-8d7a-e6ae3819fa1d,1591920000000,
4799,c861b742-539d-4194-9bcf-6886be7b986f.binning_data.json,3023333,6000,2,2020-06-08 18:48:24.490,com.sec.android.app.shealth,2020-06-08 07:31:12.648,c861b742-539d-4194-9bcf-6886be7b986f.source_info.json,1.2003571,3629.08,198.34,4797,VfS0qUERdZ,com.sec.android.app.shealth,0,c861b742-539d-4194-9bcf-6886be7b986f.achievement.json,c861b742-539d-4194-9bcf-6886be7b986f,1591574400000,
3722,0f308193-e0b7-47bb-90f5-633892f235e7.binning_data.json,2444041,6000,0,2020-06-16 22:00:00.827,com.sec.android.app.shealth,2020-06-16 22:00:00.827,,1.8888888,2794.2,152.56,3722,zub8fSqg+I,com.sec.android.app.shealth,0,0f308193-e0b7-47bb-90f5-633892f235e7.achievement.json,0f308193-e0b7-47bb-90f5-633892f235e7,1592265600000,
4799,923edea3-19ea-4f6b-bb83-67b361c4ecba.binning_data.json,3023287,6000,2,2020-06-08 22:12:41.701,com.sec.android.app.shealth,2020-06-08 22:12:41.701,,1.9166666,3629.08,198.34,4797,zub8fSqg+I,com.sec.android.app.shealth,1050,923edea3-19ea-4f6b-bb83-67b361c4ecba.achievement.json,923edea3-19ea-4f6b-bb83-67b361c4ecba,1591574400000,
379,26b5eaf3-6ad7-42ee-a0bf-b3033d93043b.binning_data.json,240726,6000,0,2020-06-18 22:29:08.623,com.sec.android.app.shealth,2020-06-18 22:29:08.623,,1.5833335,285.59,15.75,379,zub8fSqg+I,com.sec.android.app.shealth,0,26b5eaf3-6ad7-42ee-a0bf-b3033d93043b.achievement.json,26b5eaf3-6ad7-42ee-a0bf-b3033d93043b,1592438400000,
1774,d04568b9-6b25-4fab-8516-d78332b11c1f.binning_data.json,1182661,6000,0,2020-06-13 19:41:18.444,com.sec.android.app.shealth,2020-06-13 10:29:18.909,d04568b9-6b25-4fab-8516-d78332b11c1f.source_info.json,1.1230515,1328.1901,72.979996,1774,VfS0qUERdZ,com.sec.android.app.shealth,0,d04568b9-6b25-4fab-8516-d78332b11c1f.achievement.json,d04568b9-6b25-4fab-8516-d78332b11c1f,1592006400000,
2227,2ea98533-6cd6-456b-ab71-17a0b31c5893.binning_data.json,1301435,6000,23,2020-06-19 22:24:01.781,com.sec.android.app.shealth,2020-06-19 22:24:01.781,,2.75,1724.45,92.72,2204,zub8fSqg+I,com.sec.android.app.shealth,0,2ea98533-6cd6-456b-ab71-17a0b31c5893.achievement.json,2ea98533-6cd6-456b-ab71-17a0b31c5893,1592524800000,
1387,9ee6d9e5-8380-46ed-bfb8-97302a4b0892.binning_data.json,870401,6000,0,2020-06-15 15:26:08.431,com.sec.android.app.shealth,2020-06-15 10:25:57.849,9ee6d9e5-8380-46ed-bfb8-97302a4b0892.source_info.json,1.2063055,1049.97,57.32,1387,VfS0qUERdZ,com.sec.android.app.shealth,0,9ee6d9e5-8380-46ed-bfb8-97302a4b0892.achievement.json,9ee6d9e5-8380-46ed-bfb8-97302a4b0892,1592179200000,
1362,a63f4daa-c19f-4dde-b2d1-34883408e867.binning_data.json,805099,6000,2,2020-06-11 20:37:19.632,com.sec.android.app.shealth,2020-06-11 02:30:38.806,a63f4daa-c19f-4dde-b2d1-34883408e867.source_info.json,1.3010311,1047.46,56.13,1360,VfS0qUERdZ,com.sec.android.app.shealth,0,a63f4daa-c19f-4dde-b2d1-34883408e867.achievement.json,a63f4daa-c19f-4dde-b2d1-34883408e867,1591833600000,
6156,2533c4a1-1266-4342-8d62-7d2e4f15f719.binning_data.json,3492399,6000,39,2020-06-21 22:02:14.895,com.sec.android.app.shealth,2020-06-21 22:02:14.895,,3.3055556,4798.26,252.73997,6117,zub8fSqg+I,com.sec.android.app.shealth,0,2533c4a1-1266-4342-8d62-7d2e4f15f719.achievement.json,2533c4a1-1266-4342-8d62-7d2e4f15f719,1592697600000,
