
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
6846,4,0,13,2022-05-22 08:00:00.000,230002,,2022-05-22 08:03:20.750,2022-05-22 08:03:20.749,13,1.5277778,10.46,0.49,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:00:59.999,47a6c604-1c22-faa5-c14d-0a7e34f6f497,
8623,4,0,14,2022-05-22 12:05:00.000,230002,,2022-05-22 12:05:47.343,2022-05-22 12:05:47.342,14,1.25,10.78,0.54,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 12:05:59.999,f38b6d72-96c6-db1e-61a0-a4d156efa6fd,
13554,4,0,22,2022-05-22 08:32:00.000,230002,,2022-05-22 08:34:01.366,2022-05-22 08:32:54.372,22,1.2460663,16.89,0.871,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:32:59.999,944650ed-c9e5-6f64-9bb0-78485b88d9b9,
6388,4,0,11,2022-05-22 12:39:00.000,230002,,2022-05-22 12:39:27.299,2022-05-22 12:39:27.298,11,1.3055556,8.34,0.46,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 12:39:59.999,ac9b07a5-b5b2-8da4-850f-1bfd730a3b5f,
19718,4,0,36,2022-05-22 07:42:00.000,230002,,2022-05-22 07:51:58.355,2022-05-22 07:42:38.350,36,1.4402624,28.4,1.45,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:42:59.999,e2a4803f-baf9-dd43-07b4-9648923c6cfa,
11670,4,0,18,2022-05-22 12:49:00.000,230002,,2022-05-22 12:52:26.397,2022-05-22 12:49:05.425,18,1.1772938,13.74,0.731,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 12:49:59.999,5f9abd04-02a9-533b-8789-723b2a4dd67b,
6873,4,0,15,2022-05-22 09:01:00.000,230002,,2022-05-22 09:01:41.338,2022-05-22 09:01:41.337,15,1.8055556,12.41,0.56,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:01:59.999,8154c028-eac7-6c08-abf3-f50d941ebe89,
17615,4,0,36,2022-05-22 13:00:00.000,230002,,2022-05-22 13:03:30.826,2022-05-22 13:03:30.826,36,1.6388888,28.87,1.41,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:00:59.999,8a8f92ae-c35f-0e3a-08c4-848920b0222a,
22778,4,0,47,2022-05-22 13:07:00.000,,,2022-05-22 13:15:02.095,2022-05-22 13:07:00.477,47,1.6414514,37.39,1.88,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:08:00.000,1cb1b8e3-bd7e-4be4-92f3-20d01b27cf5a,
12460,4,0,24,2022-05-22 07:54:00.000,230002,,2022-05-22 07:55:01.173,2022-05-22 07:54:04.615,24,1.5127307,18.85,0.89,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:54:59.999,0c12cf61-651f-2050-6c02-9bf0bb39346a,
