10,Data Architect (all genders),vor 2 Wochen,adesso SE,"Berlin, Dortmund, Frankfurt, Hamburg, Köln, München, Nürnberg",Betreuung von internen Analytics Projekten und anleiten von motivierten Data Engineers Das Competence Center ist verantwortlich für die Umsetzung komplexer Big und Cloud Analytics Projekte für unsere namhaften Kunden. Dann gestalte gemeinsam mit uns die Line of Business & Analytics. Als Architect bist du Teil eines innovativen und stetig wachsenden Teams. Du hast Gestaltungsfreiheit beim Konstruieren und Verantworten komplexer Plattformen. * Identifizierung von Use Cases und Klassifizierung geeigneter Technologien unter Betrachtung der Kundenspezifika * Verantwortung von Angeboten mit dem Schwerpunkt Architektur und Technologie * Aufgrund deiner mehrjährigen Erfahrung blickst du auf einen,https://www.stepstone.de/stellenangebote--Data-Architect-all-genders-Berlin-Dortmund-Frankfurt-Hamburg-Koeln-Muenchen-Nuernberg-adesso-SE--9273660-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
11,(Senior) Consultant Data Engineer SAS (all genders),vor 2 Wochen,PwC,"Berlin, Köln, Hamburg, Stuttgart, Dortmund, Nürnberg, Frankfurt, München","Basierend auf einem abgeschlossenen Studium hast Du als Data Engineer vielfältige Erfahrungen in &Analytics Projekten gesammelt und kennen das Geschäft eines IT-Dienstleisters. Du kennst das Geschäft eines IT-Dienstleisters und möchtest deine bisherigen Erfahrungen sowie dein Wissen aus vielfältigen &Analytics Projekten in spannenden Kundenprojekten weiter ausbauen? Dann bist du bei uns im Team & Analytics bei adesso genau richtig! Du konzipierst, berätst und entwickelst für unsere Kunden Driven Products und bildest die Schnittstelle zwischen und Fachbereichen. * Erfahrungen im Anforderungsmanagement sowie Umsetzung von &Analytics Kundenprojekten * Kenntnisse der DWH/ Lake Architektur und Datenmodellierung nach Inmon und Kimb",https://www.stepstone.de/stellenangebote--Senior-Consultant-Data-Engineer-SAS-all-genders-Berlin-Koeln-Hamburg-Stuttgart-Dortmund-Nuernberg-Frankfurt-Muenchen-adesso-SE--9273554-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
12,(Senior) Associate Data Validation Teilzeit/Vollzeit (w/m/d),vor 3 Wochen,saracus consulting GmbH,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,","PwC * Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover, * Feste Anstellung * Home Office möglich,Teilzeit,Vollzeit - Du hast Talent. Wir sind ein internationales Netzwerk aus 284.000 Mitarbeiter:innen, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen. Du suchst einen herausfordernden, spannenden Job. Wir bieten dir als weltweit führende Wirtschaftsprüfungs- und Beratungsgesellschaft ein Maximum an Möglichkeiten für einen Karriereweg nach deinen Vorstellungen. Du möchtest Verantwortung für deine Ergebnisse übernehmen, Lösungen gemeinsam mit dem Kunden entwickeln, die digitale Transformation in Deutschland vorantreiben und einen Arbeitgeber mit passenden Werten. Unser Denken und Handeln orientiert sich an Grundsätzen, die von Vertrauen, Respekt, Weitsicht, Wertschätzung und Innovation geprägt sind.",https://www.stepstone.de/stellenangebote--Senior-Associate-Data-Validation-Teilzeit-Vollzeit-w-m-d-Berlin-Bielefeld-Bremen-Duisburg-Duesseldorf-Erfurt-Essen-Frankfurt-a-M-Hamburg-Hannover-PwC--8842414-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
13,Cloud Architect / Cloud Data Engineer / DevOps Engineer / Data Scientist (m/w/d),vor 4 Wochen,Arvato Systems Digital GmbH,"Münster, Baden","saracus ist eines der führenden unabhängigen Beratungsunternehmen für Data & Analytics in der Cloud und On-Premises im deutschsprachigen Raum mit mehr als 100 Consultants. Sie möchten alles über & Analytics in der Cloud und On-Premises erlernen, um es dann in spannenden Projekten umzusetzen? * Alternativ Basic-Know-how aus den Bereichen Cloud-Entwicklung (MS Azure, AWS, GCP) Cloudera oder tiefgründiges Science Know-how",https://www.stepstone.de/stellenangebote--Cloud-Architect-Cloud-Data-Engineer-DevOps-Engineer-Data-Scientist-m-w-d-Muenster-Baden-saracus-consulting-GmbH--8214647-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
14,Cloud Engineer (m/w/d),vor 7 Stunden,Ernsting’s family,"Gütersloh, Hamburg, Rostock, Leipzig","Als international agierender IT-Spezialist, suchen wir dich als Cloud Engineer (m/w/d).",https://www.stepstone.de/stellenangebote--Cloud-Engineer-m-w-d-Guetersloh-Hamburg-Rostock-Leipzig-Arvato-Systems-Digital-GmbH--9343526-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
15,SAP Analytics Expert (gn*),vor 10 Stunden,Atruvia AG,Coesfeld-Lette bei Münster,"Ernsting's family * Coesfeld-Lette bei Münster * Feste Anstellung * Home Office möglich,Vollzeit - Wusstest Du eigentlich schon, dass … wir als nachhaltig agierendes Familienunternehmen mit rund 1.920 Filialen und einem mehrfach ausgezeichneten Online Shop einer der größten Cross-Channel-Anbieter im deutschen Textileinzelhandel sind? Unsere Kundschaft freut sich über ein attraktives Preis-Leistungs-Angebot in den Bereichen Bekleidung und Home-&-Living-Sortimente für die ganze Familie. Dieser Familiengedanke findet sich auch in unserem täglichen Miteinander wieder: Ein ausgeprägtes Gemeinschaftsgefühl, Kommunikation auf Augenhöhe sowie ein respektvoller Umgang machen unsere stetig wachsende Ernsting's family zu etwas ganz Besonderem. Noch mehr über Ernsting's family erfährst du im Video. Schau doch mal rein! Du bist Analytiker, Gestalter und hast Lust etwas zu bewegen?",https://www.stepstone.de/stellenangebote--SAP-Analytics-Expert-gn-Coesfeld-Lette-bei-Muenster-Ernstings-family--8277490-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
16,System Engineer Public Cloud Basis (m/w/d),vor 18 Stunden,Ratiodata SE,"Karlsruhe, Münster",Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. * Du hast sehr gute Kenntnisse in Public-Cloud-Lösungen mit Schwerpunkt Microsoft Azure sowie Erfahrung im -Center-Umfeld.,https://www.stepstone.de/stellenangebote--System-Engineer-Public-Cloud-Basis-m-w-d-Karlsruhe-Muenster-Atruvia-AG--9305315-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
17,Junior Client Engineer (m/w/d),vor 19 Stunden,Web Computing GmbH,"Koblenz (Mülheim-Kärlich), Hannover (Wedemark), Frankfurt am Main, Duisburg, Münster",Ratiodata SE - Die Ratiodata SE zählt zu den größten Systemhäusern und Technologiepartner in Deutschland mit einem Team von rund 1.500 Kolleginnen und Kollegen an bundesweit 14 Standorten und Außenstellen. Zum nächstmöglichen Zeitpunkt bieten wir im Bereich IT Service eine Stelle als Junior Client (m/w/d),https://www.stepstone.de/stellenangebote--Junior-Client-Engineer-m-w-d-Koblenz-Muelheim-Kaerlich-Hannover-Wedemark-Frankfurt-am-Main-Duisburg-Muenster-Ratiodata-SE--8985318-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
18,Cloud-Engineer (m/w/d),vor 1 Tag,Atruvia AG,Münster,"Web Computing GmbH * Münster * Feste Anstellung * N/D - Wir suchen Ideen- und Impulsgeber, mit denen wir gemeinsam aktiv die Zukunft gestalten und Ziele erreichen, die auch übermorgen noch gelten. Wenn Du in ganzheitlichen Lösungen denkst und Probleme für Dich da sind, um gelöst zu werden, dann bist Du bei uns genau richtig! Wir schätzen Deinen Mut, fördern Deine Ideen, fordern Dich heraus und leben eine intensive Feedbackkultur. Heute, morgen und übermorgen. Aufbau und Betrieb * der CI-Infrastruktur für die lokale Entwicklung unseres Teams zur Steigerung der Developer Experience * der unternehmenseigenen Cloud-Infrastruktur zum Betrieb unserer Standardprodukte für unsere Kunden * von On-Premises-Systemen bei DAX30-Konzernen sowie in der Finanzbranche * von Cloud-Native-Infrastrukturen auf Basis von Cloud-Providern wie AWS, Azure und Hetzner - Administration und Weite",https://www.stepstone.de/stellenangebote--Cloud-Engineer-m-w-d-Muenster-Web-Computing-GmbH--9338001-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
19,Software Engineer Java und Angular (m/w/d),vor 2 Tagen,Atruvia AG,Münster,Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. Wir leben ein agiles Organisationsmodell mit crossfunktionalen Teams und suchen dich für unser Geschäftsfeld Security and Identity im Tribe Omnikanalsteuerung.,https://www.stepstone.de/stellenangebote--Software-Engineer-Java-und-Angular-m-w-d-Muenster-Atruvia-AG--9210614-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
